file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_099_M_SHS_ENG_ST1,ST1,4.954,4.693,3.406,3.477,8.08,8.25,0.0309,0.0303,0.0928,0.0909,0.1237,0.1212,0.79,0.597,0.725,0.621,0.741,0.615
ALL_099_M_SHS_ENG_ST2,ST2,5.257,4.824,3.728,3.813,9.36,10.31,0.0382,0.0224,0.0763,0.0672,0.1145,0.0896,0.656,0.385,0.694,0.69,0.681,0.614
ALL_100_F_SHS_ENG_ST1,ST1,4.689,4.457,2.79,2.822,7.42,8.18,0.0393,0.0278,0.1011,0.1,0.1404,0.1278,0.824,0.917,1.115,1.045,1.033,1.017
ALL_100_F_SHS_ENG_ST2,ST2,4.151,3.924,2.799,2.784,7.24,7.5,0.0773,0.0778,0.0608,0.0556,0.1381,0.1333,0.919,0.81,0.745,0.744,0.842,0.783
ALL_101_M_SHS_ENG_ST1,ST1,4.565,4.254,3.096,3.096,7.74,8.36,0.0574,0.0526,0.0766,0.0718,0.134,0.1244,0.692,0.598,0.838,0.787,0.776,0.707
ALL_101_M_SHS_ENG_ST2,ST2,4.424,4.123,2.951,2.936,8.43,9.19,0.0515,0.0415,0.0722,0.0725,0.1237,0.114,1.012,1.073,0.841,0.739,0.912,0.86
ALL_102_M_SHS_ENG_ST1,ST1,5.694,5.309,3.75,3.724,10.29,11.0,0.0139,0.028,0.0833,0.0629,0.0972,0.0909,1.17,0.994,0.898,0.832,0.937,0.882
ALL_102_M_SHS_ENG_ST2,ST2,5.21,4.986,4.003,4.021,11.74,14.0,0.0224,0.0134,0.0628,0.058,0.0852,0.0714,0.608,0.734,0.705,0.66,0.68,0.674
ALL_103_F_SHS_ENG_ST1,ST1,4.049,3.911,2.485,2.545,5.39,5.68,0.1024,0.0857,0.0878,0.0952,0.1902,0.181,0.78,0.729,0.861,0.785,0.817,0.758
ALL_103_F_SHS_ENG_ST2,ST2,4.096,3.89,2.759,2.788,7.15,7.8,0.0984,0.0872,0.0466,0.0462,0.1451,0.1333,0.773,0.735,0.904,0.814,0.815,0.762
ALL_104_M_SHS_ENG_ST1,ST1,3.761,3.569,2.402,2.385,5.42,5.6,0.0851,0.0786,0.1064,0.1071,0.1915,0.1857,0.566,0.53,0.961,0.909,0.785,0.749
ALL_104_M_SHS_ENG_ST2,ST2,4.369,4.194,2.978,2.966,8.0,7.71,0.0542,0.0586,0.075,0.0753,0.1292,0.1339,0.492,0.418,1.07,0.986,0.828,0.738
ALL_105_M_SHS_ENG_ST1,ST1,4.208,3.769,3.027,3.013,6.0,7.41,0.0787,0.0651,0.0926,0.0744,0.1713,0.1395,0.466,0.408,0.606,0.538,0.541,0.477
ALL_105_M_SHS_ENG_ST2,ST2,5.036,4.665,3.614,3.637,7.44,8.94,0.0531,0.0528,0.0844,0.0621,0.1375,0.1149,0.529,0.536,0.593,0.519,0.568,0.527
ALL_106_M_SHS_ENG_ST1,ST1,5.052,4.577,2.113,2.098,5.88,6.36,0.0709,0.0571,0.1064,0.1071,0.1773,0.1643,0.67,0.672,2.142,2.052,1.553,1.572
